hospital_sample_size,strategy,estimand,target_parameter,reference_parameter,reference_target_discrepancy,mean_estimate,bias,bias_mcse,relative_bias_percent,empirical_sd,empirical_variance,rmse,rmse_mcse,mean_estimated_se,se_to_esd_ratio,target_coverage,reference_coverage,mean_interval_width,mean_half_width,mean_positive_cases,mean_hard_positive_cases,mean_observed_patients,mean_observed_priority_share,mean_observed_hard_share,replications_estimable,target_coverage_mcse,non_estimable_rate,non_estimable_mcse,pr_bias_pass,pr_precision_pass,interval_validity_pass,reference_interval_validity_pass,variance_method_compatible,pr_point_estimation_pass,full_evidential_pass
120,N3,easy,0.948003714020427,0.942436702012551,-0.00556701200787579,0.942462711039571,-0.00554100298085566,0.000107654086578785,-0.58449169543404,0.00761229346423024,5.79470117855624e-05,0.0094147828661662,8.9753133008645e-05,0.00757352508120941,0.994907134991183,0.8652,0.9474,0.0299418884064782,0.0149709442032391,924.4024,710.0374,7621.9278,0.493284908389219,0.291182405112786,5000,0.0048296782501529,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
120,N3,hard,0.736775818639798,0.710985915492958,-0.0257899031468407,0.71065823337374,-0.0261175852660589,0.000277154084652584,-3.54484832500013,0.0195977532691393,0.000384071933198059,0.0326515448170722,0.000254427151657174,0.0193039002596804,0.985005780743164,0.7106,0.9462,0.0755694956344609,0.0377847478172304,710.0374,710.0374,7621.9278,0.493284908389219,0.291182405112786,5000,0.00641323069910946,0,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
120,N3,national,0.878398007885453,0.841879818871619,-0.0365181890138343,0.841785903797391,-0.0366121040880624,0.00015473863998363,-4.16805408930718,0.0109416741644008,0.000119720233519917,0.0382118104154767,0.000152375682162744,0.01088755590777,0.995053932714712,0.0448,0.9496,0.0427152180223923,0.0213576090111962,1634.4398,710.0374,7621.9278,0.493284908389219,0.291182405112786,5000,0.00292550713552369,0,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
120,N4,easy,0.948003714020427,0.942436702012551,-0.00556701200787579,0.948040845791466,3.71317710384578e-05,0.0001191868735373,0.00391683813990393,0.00842778465066484,7.10275541179819e-05,0.00842702363682331,8.30657639940047e-05,0.00838399068853768,0.99480362112436,0.9456,0.9016,0.0333039322269696,0.0166519661134848,924.4024,710.0374,7621.9278,0.493284908389219,0.291182405112786,5000,0.0032075111847038,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
120,N4,hard,0.736775818639798,0.710985915492958,-0.0257899031468407,0.736520641428679,-0.000255177211119768,0.000284121987090295,-0.0346343086545463,0.0200904583755744,0.000403626517740689,0.0200900698815663,0.000198672376766249,0.0198188302559009,0.986479745031412,0.942,0.7538,0.0776021474954548,0.0388010737477274,710.0374,710.0374,7621.9278,0.493284908389219,0.291182405112786,5000,0.00330563155841664,0,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
120,N4,national,0.878398007885453,0.841879818871619,-0.0365181890138343,0.878350863792694,-4.71440927598779e-05,0.000142150583474478,-0.00536705369737424,0.0100515641524428,0.000101033941910673,0.0100506695144042,9.78224282812725e-05,0.010037209853657,0.998571933823624,0.9472,0.0938,0.0394255184981615,0.0197127592490808,1634.4398,710.0374,7621.9278,0.493284908389219,0.291182405112786,5000,0.00316266216975509,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
120,N5,easy,0.948003714020427,0.942436702012551,-0.00556701200787579,0.948040845791466,3.71317710384578e-05,0.0001191868735373,0.00391683813990393,0.00842778465066484,7.10275541179819e-05,0.00842702363682331,8.30657639940047e-05,0.007813868008814,0.927155632553757,0.934,0.8874,0.0309832768959186,0.0154916384479593,924.4024,710.0374,7621.9278,0.493284908389219,0.291182405112786,5000,0.00351123909752668,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
120,N5,hard,0.736775818639798,0.710985915492958,-0.0257899031468407,0.736520641428679,-0.000255177211119768,0.000284121987090295,-0.0346343086545463,0.0200904583755744,0.000403626517740689,0.0200900698815663,0.000198672376766249,0.0181513688499124,0.90348206649085,0.9228,0.6974,0.0710866012319393,0.0355433006159696,710.0374,710.0374,7621.9278,0.493284908389219,0.291182405112786,5000,0.00377465654066698,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120,N5,national,0.878398007885453,0.841879818871619,-0.0365181890138343,0.878350863792694,-4.71440927598779e-05,0.000142150583474478,-0.00536705369737424,0.0100515641524428,0.000101033941910673,0.0100506695144042,9.78224282812725e-05,0.00828875516907443,0.824623416153598,0.8924,0.0438,0.0325363389896895,0.0162681694948447,1634.4398,710.0374,7621.9278,0.493284908389219,0.291182405112786,5000,0.00438228798688539,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
160,N1,easy,0.948003714020427,0.948003714020427,0,0.947985906500073,-1.78075203538137e-05,6.67667987085879e-05,-0.00187842305789004,0.00472112561249597,2.22890270489655e-05,0.00472068706348311,4.86003497662602e-05,0.00477952719468984,1.01237026653968,0.9538,0.9538,0.0188154106423254,0.0094077053211627,1292.6222,635.0176,10234,0.244986398280242,0.206509673636897,5000,0.00296868859936505,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
160,N1,hard,0.736775818639798,0.736775818639798,0,0.736823556815993,4.77381761940062e-05,0.000193714018850783,0.00647933536718649,0.0136976496340287,0.000187625605496607,0.0136963629956633,0.000138571157653576,0.013532509121172,0.987943879623959,0.9468,0.9468,0.0530195805851976,0.0265097902925988,635.0176,635.0176,10234,0.244986398280242,0.206509673636897,5000,0.00317394895989208,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
160,N1,national,0.878398007885453,0.878398007885453,0,0.878421561666733,2.35537812795625e-05,8.1558612990794e-05,0.00268144748372813,0.00576706483099597,3.32590367649106e-05,0.00576653619932886,5.74718102690121e-05,0.00576426769336544,0.999514980720262,0.9508,0.9508,0.0226106965622304,0.0113053482811152,1927.6398,635.0176,10234,0.244986398280242,0.206509673636897,5000,0.00305873699425106,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
160,N2,easy,0.948003714020427,0.948003714020427,-1.11022302462516e-16,0.947994478698911,-9.23532151579627e-06,8.62472759324431e-05,-0.000974186216700546,0.00609860336706978,3.71929630288349e-05,0.00609800046961236,6.14882706350862e-05,0.00612122119501117,1.00370868977371,0.9502,0.9502,0.0241641934910922,0.0120820967455461,1293.1768,635.0144,10234.0174,0.244849846897895,0.206495068026863,5000,0.00307636018697421,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
160,N2,hard,0.736775818639798,0.736775818639798,0,0.7367491776172,-2.6641022598489e-05,0.000313428671934883,-0.0036158926398633,0.022162753934345,0.000491187661954324,0.0221605535618138,0.000217657869365717,0.0219373027416087,0.989827473904907,0.941,0.941,0.0858752909150855,0.0429376454575427,635.0144,635.0144,10234.0174,0.244849846897895,0.206495068026863,5000,0.00333223648620563,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
